PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,CRIME-CHILDREN,CRIME-THEFT,CRIME RATE,Estimate,COMMI,RENT
P02370,Adyar,1238,14,2,2,4,No,4.8,2.7,3.75,2269260,64836,6483.6
P07852,Anna Nagar,1691,96,1,1,4,Yes,3.4,3.3,3.35,6303910,256096,25609.6
P06278,KK Nagar,2085,38,3,2,5,No,3.9,2.4,3.15,6745100,172549,17254.9
P08467,Chrompet,1021,18,1,1,3,Yes,3.7,3.3,3.5,4046510,94418,9441.8
P00992,Anna Nagar,1514,33,1,1,4,No,2.5,4.7,3.6,4454690,66820,6682
P05942,Chrompet,1030,101,1,1,3,No,2.1,3.3,2.7,2143380,92880,9288
P03989,Chrompet,906,112,1,1,3,No,4.8,2.3,3.55,2129700,33277,3327.7
P07060,T Nagar,1539,187,1,1,4,Yes,2.1,4.2,3.15,3102250,74882,7488.2
P00285,Anna Nagar,1743,4,1,1,4,Yes,3.1,4.8,3.95,4586430,111186,11118.6
P04718,Karapakkam,520,118,1,1,2,No,2.6,2.7,2.65,2713800,101768,10176.8
P00956,Anna Nagar,1823,30,2,1,5,No,2.5,2.5,2.5,3144030,151379,15137.9
P07903,KK Nagar,1565,124,2,1,4,Yes,2.6,3.4,3,5324580,226578,22657.8
P09166,Velachery,1941,33,3,2,5,No,4.8,2.3,3.55,2842850,165833,16583.3
P04499,Karapakkam,1383,119,2,2,4,No,3.1,4,3.55,2664650,122430,12243
P04015,Karapakkam,789,167,1,1,2,No,3.5,4.9,4.2,1286030,88185,8818.5
P09376,Velachery,1970,30,3,2,5,Yes,4.9,4.8,4.85,3514180,132969,13296.9
P00012,Chrompet,726,49,1,1,2,Yes,2.9,4.1,3.5,1854010,35654,3565.4
P08995,Anna Nagar,1737,79,1,1,4,Yes,4.9,3.1,4,3475690,111222,11122.2
P02323,Karapakkam,980,62,1,1,3,Yes,2.7,3.1,2.9,3438990,76422,7642.2
P01359,Chrompet,776,109,1,1,2,No,4.1,4.8,4.45,2555940,127797,12779.7
P07090,Chrompet,1257,22,2,1,4,Yes,2.2,2.4,2.3,4589890,114747,11474.7
P08475,Adyar,1118,57,1,1,3,Yes,2.2,3.4,2.8,4212180,140406,14040.6
P02125,Velachery,1575,51,2,1,4,Yes,3.4,4,3.7,5622790,201844,20184.4
P07915,Anna Nagar,1617,47,1,1,4,Yes,4.9,2.7,3.8,6064190,246358,24635.8
P06139,Adyar,1193,4,1,1,3,No,3.2,3.1,3.15,2679310,69144,6914.4
P03073,Karapakkam,1371,142,2,2,4,No,2.2,3.3,2.75,2367390,105218,10521.8
P08441,Chrompet,1070,141,1,1,3,Yes,2.5,2.5,2.5,2566300,71856,7185.6
P01565,Velachery,1550,70,2,1,4,Yes,2.9,3.4,3.15,3227780,151896,15189.6
P00791,Chrompet,1030,105,1,1,3,No,3.3,4.5,3.9,2520000,93334,9333.4
P06751,Adyar,676,36,1,1,2,Yes,2,4.3,3.15,4795380,179827,17982.7
P04554,Karapakkam,1651,102,2,2,4,Yes,2.9,3,2.95,5294740,298678,29867.8
P03839,Karapakkam,1313,158,1,1,3,Yes,2.2,3,2.6,3176420,62147,6214.7
P01409,Chrompet,743,175,1,1,2,Yes,4.8,3.3,4.05,3551780,133192,13319.2
P07431,KK Nagar,1394,123,2,1,4,No,4.4,4.8,4.6,4422920,113732,11373.2
P03489,KK Nagar,2351,42,4,2,6,No,3.5,4,3.75,5706460,118885,11888.5
P06387,Velachery,1522,2,2,1,4,Yes,2.1,2.2,2.15,2665330,120370,12037
P06779,Chrompet,1121,159,1,1,3,Yes,4.3,2.5,3.4,2547170,135849,13584.9
P01889,Adyar,1063,50,1,1,3,No,2,2.7,2.35,3243780,74856,7485.6
P06149,Adyar,1132,71,1,1,3,Yes,2.3,2.6,2.45,4109080,172316,17231.6
P08873,T Nagar,1622,116,1,1,4,Yes,3.6,4.1,3.85,3386740,135470,13547
P03425,KK Nagar,1470,93,2,1,4,Yes,4.3,3.9,4.1,6026150,376635,37663.5
P09806,Velachery,1705,199,2,1,4,No,2.8,2.8,2.8,3625040,99689,9968.9
P04345,KK Nagar,1912,114,3,2,5,No,5,4.9,4.95,4917040,245852,24585.2
P04042,KK Nagar,1341,6,2,1,4,Yes,2,4.4,3.2,4195250,279684,27968.4
P09781,Velachery,1884,117,3,2,5,No,2.2,3.4,2.8,2428040,133150,13315
P00254,Chrompet,1235,111,2,1,4,No,2,3.3,2.65,3756110,225367,22536.7
P09091,Anna Nagar,1865,65,2,1,5,No,4,2.1,3.05,5181620,103632,10363.2
P04061,KK Nagar,1472,158,2,1,4,No,4.2,4.8,4.5,4657390,142573,14257.3
P06644,Karapakkam,1266,119,1,1,3,No,3.4,2,2.7,2530100,113855,11385.5
P08517,Chrompet,1287,166,2,1,4,No,4.4,2.6,3.5,4116660,167239,16723.9
P07492,Adyar,1089,180,1,1,3,Yes,5,4.9,4.95,3413560,88092,8809.2
P04452,T Nagar,1939,125,2,1,5,Yes,2.8,2,2.4,4067720,130167,13016.7
P08144,Chrompet,919,59,1,1,3,No,3.5,3.7,3.6,2562110,123361,12336.1
P02854,Karapakkam,932,48,1,1,3,No,2.6,3.3,2.95,2669720,130646,13064.6
P04835,Chrompet,1240,121,2,1,4,Yes,3.8,3.5,3.65,2726680,105549,10554.9
P00455,T Nagar,1623,108,1,1,4,Yes,4.5,4.2,4.35,4321940,183355,18335.5
P07396,Adyar,830,135,1,1,3,Yes,2,2.2,2.1,2366390,7634,763.4
P07777,Adyar,651,94,1,1,2,No,3.6,2.2,2.9,2293030,100320,10032
P05423,Chrompet,1024,195,1,1,3,Yes,3.6,4.4,4,3057080,162407,16240.7
P05820,T Nagar,1512,90,1,1,4,No,4.4,4.9,4.65,5553630,148097,14809.7
P01309,Chrompet,723,16,1,1,2,Yes,3.7,4.1,3.9,2602560,100744,10074.4
P04343,Karapakkam,876,155,1,1,2,No,4.1,3.4,3.75,2025280,63652,6365.2
P05167,Adyar,995,105,1,1,3,No,4.1,3.7,3.9,2694560,13818,1381.8
P03621,Chrompet,726,200,1,1,2,No,2.5,3.6,3.05,2376620,21606,2160.6
P01131,T Nagar,1755,173,1,1,4,No,4.2,2.4,3.3,6004350,232427,23242.7
P04092,Adyar,688,101,1,1,2,Yes,2.4,4,3.2,1720140,61037,6103.7
P07035,Adyar,1087,187,1,1,3,No,2.8,4.5,3.65,2916300,124984,12498.4
P04257,Adyar,1146,103,1,1,3,Yes,2.7,3.4,3.05,3660400,99829,9982.9
P00928,Anna Nagar,1710,92,1,1,4,Yes,4.5,3,3.75,5461760,250946,25094.6
P09597,Velachery,1533,109,2,1,4,Yes,5,2.9,3.95,3273850,168369,16836.9
P09744,Velachery,1596,132,2,1,4,Yes,5,2.8,3.9,5229730,138434,13843.4
P08951,Chrompet,742,39,1,1,2,No,4.4,2,3.2,2099980,65172,6517.2
P03143,Karapakkam,1538,192,2,2,4,No,4.8,3.3,4.05,2911720,133782,13378.2
P00062,Chrompet,724,56,1,1,2,No,3.4,2.8,3.1,2062860,83804,8380.4
P06406,Karapakkam,1216,13,1,1,3,No,4.5,2.2,3.35,3803230,133627,13362.7
P07835,Adyar,938,76,1,1,3,Yes,4.6,4.3,4.45,2677790,66945,6694.5
P00485,Chrompet,782,132,1,1,2,Yes,3.7,2.1,2.9,2326950,25855,2585.5
P09288,Chrompet,1160,49,1,1,3,No,4.9,3.6,4.25,3950100,50969,5096.9
P04002,Karapakkam,983,120,1,1,3,Yes,3.6,2.8,3.2,4132180,152711,15271.1
P04853,Chrompet,1142,99,1,1,3,No,4.9,4.2,4.55,2505450,140305,14030.5
P03361,Karapakkam,1278,15,1,1,3,Yes,2.3,2.7,2.5,4115170,230851,23085.1
P05281,Velachery,1876,29,3,2,5,Yes,3.1,4.9,4,3325810,133032,13303.2
P06568,KK Nagar,2140,50,3,2,5,No,4.7,3.9,4.3,4440800,228041,22804.1
P07595,Adyar,680,111,1,1,2,No,4.4,3.9,4.15,2618800,87293,8729.3
P02829,KK Nagar,2243,194,4,2,6,Yes,3.8,3.5,3.65,6662530,333126,33312.6
P03226,Karapakkam,1306,108,1,1,3,No,4.6,2,3.3,2941900,139740,13974
P03068,T Nagar,1899,167,2,1,5,Yes,2.1,3,2.55,3961420,289488,28948.8
P04223,Chrompet,949,66,1,1,3,No,4.9,2.6,3.75,2301510,122747,12274.7
P01682,Karapakam,544,82,1,1,2,Yes,3.4,5,4.2,2565760,81024,8102.4
P01342,Chrompet,893,175,1,1,3,No,2.2,3.9,3.05,2301120,111570,11157
P01954,KK Nagar,1766,144,2,1,4,Yes,4.5,2.5,3.5,4430100,210430,21043
P03346,KK Nagar,1876,33,3,2,5,Yes,4.9,4.8,4.85,5681920,236747,23674.7
P06090,Karapakkam,747,95,1,1,2,Yes,4.7,5,4.85,2726500,107625,10762.5
P08664,Velachery,1639,22,2,1,4,No,4.8,4,4.4,3560000,100410,10041
P02701,KK Nagar,2130,62,3,2,5,Yes,4,4.3,4.15,4745260,109506,10950.6
P03668,Chrompet,941,111,1,1,3,Yes,3,3.6,3.3,4374460,145815,14581.5
P05791,Karapakkam,1129,77,1,1,3,No,2.6,4.5,3.55,3143950,95050,9505
P04571,Karapakkam,1617,79,2,2,4,Yes,2.3,4.1,3.2,2369960,177747,17774.7
P04306,KK Nagar,1747,181,2,1,4,Yes,4.7,3.4,4.05,3541410,265606,26560.6
P06965,Chrompet,1139,145,1,1,3,Yes,3.6,2.8,3.2,2844550,56891,5689.1
P00968,Chrompet,914,116,1,1,3,Yes,2.2,2.5,2.35,3287590,93931,9393.1
P07351,Velachery,1615,93,2,1,4,Yes,2.9,4.9,3.9,3155140,73620,7362
P07627,Velachery,1971,71,3,2,5,No,2.3,2.4,2.35,4674110,240787,24078.7
P02263,Karapakkam,1402,54,2,2,4,No,2.4,4.7,3.55,1893940,91991,9199.1
P00900,Chrompet,746,4,1,1,2,No,2.5,3.4,2.95,2579180,24180,2418
P05532,Velachery,1945,59,3,2,5,No,2.4,3.1,2.75,3741610,187081,18708.1
P02420,KK Nagar,1851,55,3,2,5,No,3.8,3.6,3.7,4110510,88876,8887.6
P02948,KK Nagar,1776,29,2,1,4,Yes,3,3.9,3.45,4588700,149400,14940
P02449,Karapakkam,1639,24,2,2,4,No,3.1,3.6,3.35,3936350,125248,12524.8
P04555,Adyar,960,7,1,1,3,No,3.7,4.4,4.05,3330780,85649,8564.9
P08461,Adyar,1296,53,2,2,4,Yes,2.7,4.4,3.55,5781380,214737,21473.7
P03817,Adyar,1199,21,1,1,3,No,3,3.6,3.3,4266460,54698,5469.8
P01194,T Nagar,1765,56,1,1,4,No,4.9,3.4,4.15,5926820,222256,22225.6
P00096,Chrompet,1212,143,2,1,4,No,4.1,3.8,3.95,4167490,86224,8622.4
P06955,KK Nagar,1693,15,2,1,4,Yes,2.1,3.1,2.6,3679120,143077,14307.7
P07375,Chrompet,1117,47,1,1,3,Yes,3.7,2.8,3.25,2882830,168993,16899.3
P01198,Chrompet,1008,0,1,1,3,No,3.2,3.6,3.4,2871120,138606,13860.6
P06393,Chrompet,702,166,1,1,2,Yes,2.9,4.6,3.75,2240190,98008,9800.8
P00973,T Nagar,1702,168,1,1,4,Yes,2.9,5,3.95,7276910,161709,16170.9
P08413,T Nagar,1837,89,2,1,5,Yes,2.5,3.9,3.2,4180750,225117,22511.7
P08452,Adyar,1129,44,1,1,3,No,2.3,4.4,3.35,3610010,76576,7657.6
P05808,KK Nagar,2379,86,4,2,6,Yes,2.6,5,3.8,8241670,457871,45787.1
P01732,Karapakkam,1690,46,2,2,4,No,4.1,2.8,3.45,3005530,96953,9695.3
P03265,Karapakkam,811,164,1,1,2,No,2.4,3.6,3,4182520,204858,20485.8
P09269,Velachery,1778,168,2,1,4,Yes,3.8,3.3,3.55,5217200,298126,29812.6
P02005,KK Nagar,2291,106,4,2,6,No,4.8,3.4,4.1,4605150,161802,16180.2
P09884,Velachery,1558,88,2,1,4,Yes,2.9,3.5,3.2,2711850,153672,15367.2
P03077,Velachery,1671,145,2,1,4,No,3.2,3.2,3.2,4060420,111662,11166.2
P02144,KK Nagar,2236,22,4,2,6,Yes,5,3.3,4.15,4946270,193025,19302.5
P01972,Karapakkam,1115,78,1,1,3,Yes,2.8,3.1,2.95,2166940,86678,8667.8
P03272,KK Nagar,2264,164,4,2,6,Yes,4.6,4.2,4.4,6442440,342255,34225.5
P04748,T Nagar,1960,85,2,1,5,No,3.1,2.3,2.7,4278650,125843,12584.3
P09255,T Nagar,1883,182,2,1,5,Yes,2,3.7,2.85,5180150,133204,13320.4
P02072,Karapakkam,1578,100,2,2,4,Yes,4.4,2.2,3.3,5257560,298725,29872.5
P05111,KK Nagar,2352,145,4,2,6,No,2.3,4.9,3.6,8400740,410703,41070.3
P05943,KK Nagar,2143,68,3,2,5,Yes,2.2,3.8,3,3671110,159081,15908.1
P04135,KK Nagar,1611,39,2,1,4,Yes,3.6,2.2,2.9,7409640,141887,14188.7
P03351,Velachery,1998,1,3,2,5,Yes,4.7,2.4,3.55,3327320,188848,18884.8
P02627,Chrompet,882,86,1,1,3,No,3.7,2.4,3.05,2608230,135628,13562.8
P02406,Karapakkam,1301,89,1,1,3,Yes,4,4.1,4.05,3197250,184084,18408.4
P05640,Karapakkam,1348,198,2,2,4,Yes,4.1,3.8,3.95,3999550,165835,16583.5
P09231,Chrompet,880,149,1,1,3,No,4.3,5,4.65,3998810,157529,15752.9
P06390,Chrompet,770,135,1,1,2,Yes,3.9,4.6,4.25,2365760,135186,13518.6
P08275,KK Nagar,1589,75,2,1,4,No,3.8,4.7,4.25,3700030,232573,23257.3
P00571,Chrompet,760,138,1,1,2,No,3,5,4,2124360,121392,12139.2
P03094,Velachery,1989,128,3,2,5,No,5,2.1,3.55,5384000,215360,21536
P02145,KK Nagar,1666,187,2,1,4,No,3.7,3.8,3.75,5803290,305436,30543.6
P01403,Chrompet,1274,92,2,1,4,Yes,3.1,2.2,2.65,3011220,162143,16214.3
P00398,Chrompet,1006,10,1,1,3,Yes,4.7,2.5,3.6,2742300,94562,9456.2
P05079,Chrompet,924,101,1,1,3,Yes,3.4,2.7,3.05,2980980,107315,10731.5
P08844,Anna Nagar,1503,12,1,1,4,Yes,2.7,3.3,3,3534020,223821,22382.1
P05122,Velachery,1876,69,3,2,5,No,2.2,2.9,2.55,4670920,109904,10990.4
P02734,T Nagar,1967,123,2,1,5,No,3.6,3.6,3.6,3663480,122116,12211.6
P07188,Velachery,1648,75,2,1,4,Yes,2.4,2.3,2.35,5010390,132628,13262.8
P05561,Velachery,1566,84,2,1,4,Yes,4.9,5,4.95,4557900,241300,24130
P00652,Anna Nagar,1645,150,1,1,4,Yes,2.6,5,3.8,4666090,159629,15962.9
P01072,Chrompet,1148,35,1,1,3,Yes,4.3,3.1,3.7,2626160,145898,14589.8
P00385,Chrompet,1220,116,2,1,4,No,4.5,3.7,4.1,2481490,115212,11521.2
P05519,Karapakkam,1569,182,2,2,4,No,2.2,2.1,2.15,5004690,180169,18016.9
P01410,Chrompet,736,90,1,1,2,No,2.8,3.4,3.1,2370390,40869,4086.9
P05804,Karapakkam,1429,196,2,2,4,Yes,4.4,4.7,4.55,3042900,77691,7769.1
P07515,Adyar,1020,78,1,1,3,No,4,4.6,4.3,4146950,106332,10633.2
P00691,Chrompet,1192,160,1,1,3,No,3.2,3.9,3.55,2314010,47876,4787.6
P03592,Karapakkam,815,32,1,1,2,Yes,4.7,2.2,3.45,3345410,148685,14868.5
P09493,Velachery,1522,60,2,1,4,No,2.7,4.4,3.55,4179290,161779,16177.9
P04172,Karapakkam,878,97,1,1,2,Yes,2.8,4,3.4,3089000,108115,10811.5
P01605,Chrompet,1298,152,2,1,4,No,3.4,3.7,3.55,2640220,150870,15087
P03956,Karapakkam,1365,54,2,2,4,No,2.7,4.2,3.45,2733400,101708,10170.8
P05076,Karapakkam,1134,79,1,1,3,Yes,3.7,2.8,3.25,3956460,176778,17677.8
P05695,Anna Nagar,1815,164,2,1,5,Yes,3.4,2,2.7,4936640,139239,13923.9
P00993,Chrompet,979,26,1,1,3,Yes,4.3,4.7,4.5,3515380,169708,16970.8
P02468,Karapakkam,1605,73,2,2,4,No,3.2,4.5,3.85,4861000,136108,13610.8
P06320,Karapakkam,1026,62,1,1,3,No,4.4,3.6,4,1734500,37168,3716.8
P02001,Karapakkam,1580,193,2,2,4,Yes,2.9,2,2.45,5641920,104966,10496.6
P08770,Chrompet,985,16,1,1,3,No,2.9,5,3.95,2469690,73176,7317.6
P00229,T Nagar,1583,1,1,1,4,No,3.1,3.1,3.1,6798600,288941,28894.1
P06646,Karapakkam,1677,185,2,2,4,Yes,4,2.6,3.3,5294320,157703,15770.3
P04466,Karapakkam,1189,92,1,1,3,Yes,4.2,4.1,4.15,3629930,120998,12099.8
P05793,Velachery,1599,32,2,1,4,No,3.1,4.4,3.75,2835850,134330,13433
P01750,Velachery,1509,32,2,1,4,Yes,4.3,3.6,3.95,3409570,136383,13638.3
P09131,Adyar,1070,38,1,1,3,No,2,4.2,3.1,2785970,39800,3980
P02168,Velachery,1710,3,2,1,4,Yes,3.9,4.3,4.1,3031760,121271,12127.1
P02511,Adyar,755,160,1,1,2,Yes,4.3,2.8,3.55,2213980,67649,6764.9
P07343,Chrompet,1228,131,2,1,4,No,2.1,4.8,3.45,2778630,157456,15745.6
P01376,T Nagar,1878,118,2,1,5,No,3.3,5,4.15,6246380,193853,19385.3
P07422,KK Nagar,1486,118,2,1,4,Yes,2.7,2.3,2.5,5760670,267938,26793.8
P01769,Karapakkam,1546,167,2,2,4,Yes,4.9,4.9,4.9,3205260,151360,15136
P08586,Velachery,1812,139,3,2,5,No,2.1,3.9,3,3419540,170977,17097.7
P06488,Karapakkam,1648,131,2,2,4,No,3.8,4.8,4.3,2828700,168375,16837.5
P01230,Chrompet,1148,80,1,1,3,No,2.1,2.7,2.4,2482080,46539,4653.9
P02908,Chrompet,723,4,1,1,2,No,4.6,3.6,4.1,1936160,55319,5531.9
P08831,T Nagar,1805,74,2,1,5,No,4.8,4.7,4.75,5912550,267019,26701.9
P03288,Velachery,1567,2,2,1,4,No,3.5,2.5,3,5095050,127376,12737.6
P00680,Chrompet,796,161,1,1,2,No,2.2,2.5,2.35,1815060,51048,5104.8
P02031,Adyar,867,34,1,1,3,Yes,3.9,4.8,4.35,2475980,30950,3095
P04875,Karapakkam,1207,195,1,1,3,No,4,4.6,4.3,2788520,54558,5455.8
P07956,KK Nagar,2417,82,4,2,6,No,4.1,3.7,3.9,3847940,204422,20442.2
P08447,Adyar,981,121,1,1,3,Yes,4.1,2.2,3.15,2934320,17784,1778.4
P05865,Chrompet,1231,78,2,1,4,Yes,3.7,2.2,2.95,2810070,74935,7493.5
P09672,Velachery,1864,134,3,2,5,No,2.8,2.2,2.5,5662440,290381,29038.1
P09920,Velachery,1912,114,3,2,5,No,4.7,3,3.85,2788210,73805,7380.5
P04910,Karapakkam,1409,35,2,2,4,No,2.4,2.8,2.6,3172000,83076,8307.6
P00162,Chrompet,1225,156,2,1,4,No,2.7,4.1,3.4,3487190,139488,13948.8
P01825,KK Nagar,2001,145,3,2,5,No,2.6,2.1,2.35,3304490,151062,15106.2
P05292,Chrompet,738,47,1,1,2,No,4.4,4.6,4.5,2431800,117668,11766.8
P02712,Chrompet,1088,190,1,1,3,No,3.1,4.3,3.7,3169200,63384,6338.4
P07747,Chrompet,733,84,1,1,2,No,2.5,2.9,2.7,2625510,50816,5081.6
P07472,Anna Nagar,1973,131,2,1,5,No,2.3,2.1,2.2,3406540,214486,21448.6
P00068,T Nagar,1683,3,1,1,4,No,3,2.3,2.65,4446220,148207,14820.7
P00750,Chrompet,1289,62,2,1,4,Yes,4.2,4.1,4.15,5179140,167069,16706.9
P01938,KK Nagar,1302,200,1,1,3,Yes,2.8,3.6,3.2,5423610,98611,9861.1
P08240,Chrompet,1089,200,1,1,3,No,2.8,4.1,3.45,2551720,63793,6379.3
P05994,Karapakkam,1386,19,2,2,4,Yes,3.1,4.6,3.85,3717240,190185,19018.5
P00744,Chrompet,1238,154,2,1,4,Yes,2.5,4.7,3.6,3626400,56663,5666.3
P00792,T Nagar,1607,153,1,1,4,Yes,4.5,3.1,3.8,5006680,184457,18445.7
P04083,Karapakkam,847,52,1,1,2,No,5,2.3,3.65,2223240,139747,13974.7
P01744,KK Nagar,2444,135,4,2,6,Yes,5,4.5,4.75,4313000,169906,16990.6
P03503,T Nagar,1522,98,1,1,4,Yes,3.4,3.1,3.25,3322890,242827,24282.7
P04256,Karapakkam,965,48,1,1,3,Yes,2.5,3.2,2.85,2438310,93230,9323
P05332,Karapakkam,1622,172,2,2,4,Yes,3,2.5,2.75,3819050,177630,17763
P04078,KK Nagar,1668,17,2,1,4,No,2,5,3.5,4755200,175736,17573.6
P06574,KK Nagar,2290,18,4,2,6,No,3.9,4.6,4.25,6716960,141410,14141
P04752,Karapakkam,1561,189,2,2,4,Yes,2.8,2,2.4,3822620,236103,23610.3
P03316,Karapakkam,1541,29,2,2,4,Yes,3.3,3.8,3.55,4187930,181477,18147.7
P07291,KK Nagar,1628,17,2,1,4,No,3.2,2.9,3.05,4422100,257099,25709.9
P07280,KK Nagar,1358,142,2,1,4,No,4.2,4.8,4.5,5376390,122191,12219.1
P04397,Karapakkam,1469,154,2,2,4,Yes,3.7,3.7,3.7,2601930,118269,11826.9
P02025,Chrompet,928,165,1,1,3,Yes,2.8,5,3.9,3618020,90451,9045.1
P09003,Velachery,1782,158,2,1,4,No,3.5,4.3,3.9,5902900,264077,26407.7
P03088,KK Nagar,1588,1,2,1,4,No,2.7,4.3,3.5,2870660,152504,15250.4
P05216,KK Nagar,1895,175,3,2,5,Yes,2.6,4.8,3.7,5089640,152689,15268.9
P00823,T Nagar,1567,41,1,1,4,No,3.4,4.7,4.05,3072870,177281,17728.1
P07932,Anna Nagar,1702,79,1,1,4,No,5,2.7,3.85,5163850,377358,37735.8
P02680,KK Nagar,1309,95,1,1,3,Yes,3.4,4.1,3.75,5737760,240185,24018.5
P03407,Karapakkam,1533,35,2,2,4,Yes,4,3.4,3.7,4918200,292750,29275
P06860,Adyar,1289,4,2,2,4,Yes,4.3,4.8,4.55,4250600,56675,5667.5
P06832,KK Nagar,1364,140,2,1,4,Yes,3,4.3,3.65,2842630,175574,17557.4
P00361,T Nagar,1676,1,1,1,4,No,2.9,3.2,3.05,6759070,242633,24263.3
P06394,Chrompet,1096,141,1,1,3,Yes,4.9,3.6,4.25,2745380,64059,6405.9
P03881,Karapakkam,971,194,1,1,3,Yes,3.1,2,2.55,2561330,179293,17929.3
P02725,Karapakkam,863,128,1,1,2,No,3.8,2.8,3.3,3349100,125591,12559.1
P00544,Anna Nagar,1953,118,2,1,5,Yes,3.5,2.9,3.2,5668210,174406,17440.6
P08809,Velachery,1655,103,2,1,4,No,4.9,3.6,4.25,3725780,230122,23012.2
P02307,KK Nagar,1482,10,2,1,4,Yes,2.7,4.9,3.8,4427540,103623,10362.3
P08485,Velachery,1804,191,3,2,5,Yes,2.8,2.6,2.7,3622420,83594,8359.4
P09159,Anna Nagar,1802,107,2,1,5,Yes,2.4,4.2,3.3,5439100,67989,6798.9
P01398,T Nagar,1535,78,1,1,4,Yes,3.4,2.3,2.85,2628850,73608,7360.8
P02495,Karapakkam,1393,117,2,2,4,Yes,4.8,4.6,4.7,2379620,83987,8398.7
P08769,Chrompet,1048,94,1,1,3,Yes,4.7,2.2,3.45,2440330,65701,6570.1
P00458,Chrompet,960,96,1,1,3,Yes,2.6,4.9,3.75,3093420,118978,11897.8
P05850,T Nagar,1709,24,1,1,4,Yes,4.5,4,4.25,6678180,314267,31426.7
P06648,Chrompet,1168,145,1,1,3,No,4.2,2.6,3.4,2525180,109424,10942.4
P05003,Karapakkam,1380,95,2,2,4,Yes,4.2,3.4,3.8,3216890,76593,7659.3
P03602,KK Nagar,1710,160,2,1,4,Yes,3.6,3.2,3.4,7232120,118075,11807.5
P03201,Karapakkam,1447,34,2,2,4,Yes,3.1,4.4,3.75,3671090,223847,22384.7
P00489,Anna Nagar,1537,21,1,1,4,No,2.2,4.4,3.3,4117520,63346,6334.6
P06958,Chrompet,724,91,1,1,2,Yes,4,3.2,3.6,2125650,76523,7652.3
P04750,KK Nagar,1495,192,2,1,4,Yes,2.3,4.2,3.25,3430060,166306,16630.6
P06660,KK Nagar,1362,114,2,1,4,Yes,3.5,3.8,3.65,4153040,227429,22742.9
P04403,Chrompet,1150,136,1,1,3,No,3.1,4.6,3.85,3493730,74866,7486.6
P04175,Adyar,1212,200,2,2,4,No,3.2,2.1,2.65,3701810,43551,4355.1
P07433,KK Nagar,1886,96,3,2,5,No,4.3,4.8,4.55,4203070,93402,9340.2
P03525,Chrompet,994,188,1,1,3,Yes,3.9,2.8,3.35,2684150,138836,13883.6
P09373,Chrompet,862,151,1,1,3,No,4.8,2.1,3.45,1831300,78484,7848.4
P05845,Karapakkam,1217,198,1,1,3,Yes,3.2,3.4,3.3,2865930,182377,18237.7
